Genotype,Sex,Rep,Blind_#,VNC_area,Total_particle_area,Particle_count,Average_particle_size,Percent_area
KO,F,1,4,188739,1324,490,2.702,0.701497836
KO,F,2,16,207729,3616,1221,2.962,1.740729508
KO,F,3,10,159972,779,368,2.117,0.486960218
KO,F,4,21,139526,2529,820,3.084,1.8125654
KO,F,5,33,208973,741,454,1.632,0.354591263
KO,F,6,1,198499,2038,716,2.846,1.026705424
KO,M,1,30,219910,2297,1184,1.94,1.044518212
KO,M,2,44,195959,3066,916,3.347,1.564613006
KO,M,3,14,116979,2201,532,4.137,1.881534292
KO,M,4,26,197474,928,569,1.631,0.469935283
KO,M,5,47,216596,1411,603,2.34,0.65144324
KO,M,6,2,196130,2366,779,3.037,1.206342732
W422X,F,1,37,218993,217,149,1.456,0.099089925
W422X,F,2,41,197496,2331,862,2.704,1.180277069
W422X,F,3,9,227456,1109,441,2.515,0.487566826
W422X,F,4,27,220895,584,275,2.124,0.264379004
W422X,F,5,15,214667,4563,1641,2.781,2.125617817
W422X,F,6,25,187592,4401,906,4.858,2.346048872
W422X,M,1,5,143123,5379,595,9.04,3.758305793
W422X,M,2,19,163031,5121,907,5.646,3.1411204
W422X,M,3,13,135844,3159,939,3.364,2.325461559
W422X,M,4,11,268608,3790,1473,2.573,1.41097808
W422X,M,5,22_1,223747,1447,602,2.404,0.646712582
W422X,M,6,22_2,214828,2021,656,3.081,0.940752602
WG2,F,1,29,212977,18,15,1.2,0.008451617
WG2,F,2,31,195235,12,11,1.091,0.006146439
WG2,F,3,6,179664,408,198,2.061,0.227090569
WG2,F,4,18,141409,99,65,1.523,0.070009688
WG2,F,5,36,185861,184,123,1.496,0.098998714
WG2,F,6,24,130234,98,55,1.782,0.075249167
WG2,M,1,38,211649,94,75,1.253,0.044413156
WG2,M,2,3,226153,253,159,1.591,0.111871167
WG2,M,3,28,209050,109,36,3.028,0.052140636
WG2,M,4,40,193771,448,262,1.71,0.231200747
WG2,M,5,45,195319,222,28,7.929,0.113660217
WG2,M,6,32,160505,162,113,1.434,0.100931435
WG2,M,7,12,222341,360,251,1.434,0.161913457
Y160C,F,1,23,194413,1210,626,1.933,0.622386363
Y160C,F,2,48,135005,919,369,2.491,0.680715529
Y160C,F,3,34,109524,1329,564,2.356,1.213432672
Y160C,F,4,7,202733,2200,1047,2.101,1.085171136
Y160C,F,5,42,222052,899,416,2.161,0.404860123
Y160C,F,6,49,206661,1713,597,2.869,0.828893695
Y160C,M,1,39,226021,2404,718,3.348,1.063617982
Y160C,M,2,20,178535,1681,421,3.993,0.941552077
Y160C,M,3,43,196438,3284,867,3.788,1.6717743
Y160C,M,4,35,216096,2192,964,2.274,1.014363986
Y160C,M,5,17,181491,3443,955,3.605,1.897063766
Y160C,M,6,8,212817,1986,574,3.46,0.933196126
