"","Genotype","Sex","Age","Adj_mean","Adj_SE"
"1","KO","F","W0",-0.036494490754445,0.00835077205185128
"2","W422X","F","W0",-0.0230949375345262,0.00792059815204939
"3","WG2","F","W0",0,0.00689950594811718
"4","Y160C","F","W0",-0.0315541283008387,0.00736943527605342
"5","KO","M","W0",-0.0603613186077747,0.00723548036580317
"6","W422X","M","W0",-0.0297340856946992,0.00653732578144574
"7","WG2","M","W0",0,0.00616069223468449
"8","Y160C","M","W0",-0.0208019389426991,0.00617322902149914
"9","KO","F","W3",-0.0674568007731765,0.0172402817500356
"10","W422X","F","W3",0.00294314978898225,0.0151976276363956
"11","WG2","F","W3",0,0.0164978969739235
"12","Y160C","F","W3",-0.0776106251699901,0.0192400579284408
"13","KO","M","W3",-0.0862600961397834,0.00996540092423819
"14","W422X","M","W3",-0.0206504251220238,0.00774793527259292
"15","WG2","M","W3",0,0.00764320963364127
"16","Y160C","M","W3",-0.0278411664617674,0.00845152789011538
